ip,hostname,city,region,country,loc,org,postal,timezone,anycast
61.16.90.170,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
17.253.57.75,defra3-edge-bx-038.aaplimg.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS6185 Apple Inc.,60306,Europe/Berlin,
49.1.226.243,,Seoul,Seoul,KR,"37.5660,126.9784",AS7562 HCN Dongjak,03141,Asia/Seoul,
118.243.114.244,y114244.ppp.asahi-net.or.jp,Kumagaya,Saitama,JP,"36.1350,139.3900",AS4685 Asahi Net,360-0016,Asia/Tokyo,
61.92.88.138,061092088138.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
195.32.122.27,host27-122-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
17.253.2.65,usnyc3-edge-get-001.a.aaplimg.com,New York City,New York,US,"40.7143,-74.0060",AS6185 Apple Inc.,10001,America/New_York,
167.89.213.254,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
77.246.78.25,,Beirut,Beyrouth,LB,"33.8933,35.5016",AS9051 IncoNet Data Management sal,,Asia/Beirut,
110.146.193.127,cpe-110-146-193-127.vb11.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
95.102.47.85,adsl-dyn-85.95-102-47.t-com.sk,Vinné,Košický kraj,SK,"48.8096,21.9676","AS6855 Slovak Telekom, a.s.",072 31,Europe/Bratislava,
124.244.1.42,124244001042.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
167.89.220.102,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
110.144.201.102,cpe-110-144-201-102.vb04.vic.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
162.255.189.45,45.189.255.162.in-addr.arpa.mylandhcp.westco.net,Morgantown,West Virginia,US,"39.6099,-79.9831",AS40794 Westco Internet,26501,America/New_York,
74.131.39.150,cpe-74-131-39-150.kya.res.rr.com,Dayton,Ohio,US,"39.7862,-84.1622",AS10796 Charter Communications Inc,45404,America/New_York,
159.196.198.158,,Melbourne,Victoria,AU,"-37.8140,144.9633",AS4764 Aussie Broadband,3000,Australia/Melbourne,
176.28.29.221,n176-28-29-221.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
199.58.79.58,199-58-79-58.rev.tec.com,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
195.32.119.106,host106-119-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
185.60.97.232,,Braunschweig,Lower Saxony,DE,"52.2659,10.5267",AS205505 Volkswagen Financial Services AG,38100,Europe/Berlin,
208.123.242.138,dsl-242-138.geneseo.net,Atkinson,Illinois,US,"41.4209,-90.0151",AS15129 Geneseo Telephone Company,61235,America/Chicago,
178.77.121.16,n178-77-121-16.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
137.118.252.173,137-118-252-173.peoplescom.net,Forney,Texas,US,"32.7482,-96.4719",AS40317 Peoples Communications Inc.,75126,America/Chicago,
173.224.17.23,173-224-17-23.ptcnet.net,Pierce,Nebraska,US,"42.1992,-97.5267","AS46328 Four-U Technologies, LLC",68767,America/Chicago,
141.66.193.162,dev-apd-m.fiz-karlsruhe.de,Karlsruhe,Baden-Wurttemberg,DE,"49.0094,8.4044",AS13040 FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH,76133,Europe/Berlin,
17.253.54.195,ushnl2-vip-bx-001.a.aaplimg.com,Honolulu,Hawaii,US,"21.3069,-157.8583",AS714 Apple Inc.,96802,Pacific/Honolulu,
137.118.255.47,137-118-255-47.peoplescom.net,Royse City,Texas,US,"32.9751,-96.3325",AS40317 Peoples Communications Inc.,75189,America/Chicago,
1.120.134.65,cpe-1-120-134-65.4cbp-r-037.cha.qld.bigpond.net.au,Hobart,Tasmania,AU,"-42.8794,147.3294",AS1221 Telstra Corporation Ltd,7000,Australia/Hobart,
137.118.130.155,137-118-130-155.peoplescom.net,Forney,Texas,US,"32.7482,-96.4719",AS40317 Peoples Communications Inc.,75126,America/Chicago,
17.253.63.5,iedub1-edge-bx-003.aaplimg.com,Dublin,Leinster,IE,"53.3331,-6.2489",AS6185 Apple Inc.,D02,Europe/Dublin,
64.253.79.109,inet-64-253-79-109.industryinet.com,Carmine,Texas,US,"30.1494,-96.6861","AS32262 Industry I-Net, Inc.",78932,America/Chicago,
62.138.212.147,,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
195.32.9.34,host34-9-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
64.253.72.193,inet-64-253-72-193.industryinet.com,Industry,Texas,US,"29.9134,-96.4961","AS32262 Industry I-Net, Inc.",78950,America/Chicago,
61.16.65.246,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
68.168.206.145,,Nevada,Texas,US,"33.0423,-96.3739",AS40317 Peoples Communications Inc.,75173,America/Chicago,
38.125.225.35,,New York City,New York,US,"40.7152,-73.9877","AS29852 Honest Networks, LLC",10002,America/New_York,
210.6.1.59,210006001059.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
120.154.205.116,cpe-120-154-205-116.qb07.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
195.32.124.187,host187-124-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
199.58.79.36,199-58-79-36.rev.tec.com,Royse City,Texas,US,"32.9751,-96.3325",AS40317 Peoples Communications Inc.,75189,America/Chicago,
108.54.183.3,pool-108-54-183-3.nycmny.fios.verizon.net,New York City,New York,US,"40.7143,-74.0060",AS701 Verizon Business,10001,America/New_York,
183.179.239.153,183179239153.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
24.224.29.254,ss-29-254.pld.com,Ulysses,Kansas,US,"37.5814,-101.3552","AS10821 The Pioneer Telephone Association, Inc.",67880,America/Chicago,
14.199.33.18,014199033018.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
167.89.217.202,,Winnsboro,Texas,US,"32.9573,-95.2902",AS40317 Peoples Communications Inc.,75494,America/Chicago,
68.170.85.250,68-170-85-250.dyn.grandenetworks.net,Iowa Colony,Texas,US,"29.4825,-95.4155","AS7459 Grande Communications Networks, LLC",77578,America/Chicago,
58.177.124.193,058177124193.ctinets.com,Tseung Kwan O,Sai Kung,HK,"22.3279,114.2499",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
195.32.11.104,host104-11-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
80.237.221.196,n80-237-221-196.iblknet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
124.208.57.199,kd124208057199.ppp-bb.dion.ne.jp,Yamagata,Yamagata,JP,"38.2456,140.3353",AS2516 KDDI CORPORATION,990-0031,Asia/Tokyo,
110.235.80.157,110235080157.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
107.139.207.3,107-139-207-3.lightspeed.jcsnms.sbcglobal.net,Long Beach,Mississippi,US,"30.3505,-89.1528","AS7018 AT&T Services, Inc.",39560,America/Chicago,
61.16.92.126,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
1.123.66.24,cpe-1-223-66-24.bpi3-r-032.fli.sa.bigpond.net.au,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
206.125.140.204,gens-206-125-140-204.geneseo.net,Geneseo,Illinois,US,"41.4481,-90.1543",AS15129 Geneseo Telephone Company,61254,America/Chicago,
123.203.220.41,123203220041.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
109.74.98.50,ip-109-74-98-50.fiberconnect.pl,Szczecin,West Pomerania,PL,"53.4332,14.5490","AS44061 SAT-MONT-SERVICE JACEK MRUK, KRZYSZTOF MRUK Sp. z o.o.",70-427,Europe/Warsaw,
14.48.143.133,,Suncheon,Jeollanam-do,KR,"34.9505,127.4878",AS4766 Korea Telecom,57941,Asia/Seoul,
124.148.216.218,124-148-216-218.tpgi.com.au,Fawkner,Victoria,AU,"-37.7167,144.9667",AS7545 TPG Telecom Limited,3060,Australia/Melbourne,
68.168.197.192,,Quitman,Texas,US,"32.7960,-95.4511",AS40317 Peoples Communications Inc.,75783,America/Chicago,
101.185.207.125,cpe-101-185-207-125.wb06.wa.asp.telstra.net,Perth,Western Australia,AU,"-31.9522,115.8614",AS1221 Telstra Corporation Ltd,6000,Australia/Perth,
137.118.229.33,137-118-229-33.forneyisd.net,Heath,Texas,US,"32.8365,-96.4750",AS40317 Peoples Communications Inc.,75032,America/Chicago,
38.105.252.218,,New York City,New York,US,"40.7185,-74.0025","AS29852 Honest Networks, LLC",10013,America/New_York,
137.119.87.30,137-119-87-30.peoplescom.net,Mineola,Texas,US,"32.6632,-95.4883",AS40317 Peoples Communications Inc.,75773,America/Chicago,
141.66.192.84,registrierung-p2.deutsche-digitale-bibliothek.de,Karlsruhe,Baden-Wurttemberg,DE,"49.0094,8.4044",AS13040 FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH,76133,Europe/Berlin,
195.32.115.231,host231-115-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
61.239.156.70,061239156070.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
72.172.214.39,72-172-214-39.fidnet.com,Sullivan,Missouri,US,"38.2081,-91.1604",AS11976 Fidelity Communication International Inc.,63080,America/Chicago,
154.56.71.55,,Fermo,The Marches,IT,"43.1630,13.7227",AS203591 TECNO GENERAL S.R.L,63900,Europe/Rome,
154.27.17.104,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
167.89.209.185,,Quinlan,Texas,US,"32.9104,-96.1355",AS40317 Peoples Communications Inc.,75474,America/Chicago,
68.183.179.194,,Singapore,Singapore,SG,"1.3215,103.6957","AS14061 DigitalOcean, LLC",627753,Asia/Singapore,
67.61.250.205,67-61-67-61-250-205.cpe.sparklight.net,Longview,Texas,US,"32.5178,-94.7303","AS11492 CABLE ONE, INC.",75601,America/Chicago,
124.187.142.58,cpe-124-187-142-58.wb05.wa.asp.telstra.net,Perth,Western Australia,AU,"-31.9522,115.8614",AS1221 Telstra Corporation Ltd,6000,Australia/Perth,
17.253.87.201,hkhkg3-vip-bx-001.aaplimg.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS6185 Apple Inc.,,Asia/Hong_Kong,
167.89.216.236,,Winnsboro,Texas,US,"32.9573,-95.2902",AS40317 Peoples Communications Inc.,75494,America/Chicago,
17.253.15.147,defra1-edge-bx-029.a.aaplimg.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS6185 Apple Inc.,60306,Europe/Berlin,
17.253.117.31,twtpe2-edge-bx-016.aaplimg.com,Taipei,Taiwan,TW,"25.0478,121.5319",AS6185 Apple Inc.,,Asia/Taipei,
195.32.115.80,host80-115-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
155.137.190.7,155137190007.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
78.139.75.200,200-75-139-78.kamensktel.ru,Kamensk-Ural’skiy,Sverdlovsk Oblast,RU,"56.4185,61.9329",AS39812 Closed Joint Stock Company Radiotelephone,623400,Asia/Yekaterinburg,
65.38.22.74,,Muskogee,Oklahoma,US,"35.7479,-95.3697",AS22747 TulsaConnect,74403,America/Chicago,
167.89.227.19,,Yantis,Texas,US,"32.9304,-95.5750",AS40317 Peoples Communications Inc.,75497,America/Chicago,
78.26.252.220,,Odesa,Odessa,UA,"46.4857,30.7438",AS34187 LLC Renome-Service,65000,Europe/Kyiv,
108.69.74.4,108-69-74-4.lightspeed.cicril.sbcglobal.net,Chicago,Illinois,US,"41.7620,-87.5703","AS7018 AT&T Services, Inc.",60649,America/Chicago,
67.207.238.219,219-238-207-67-in-addr-arpa.brightok.net,Stillwater,Oklahoma,US,"36.1156,-97.0584",AS8025 BrightNet Oklahoma,74077,America/Chicago,
167.89.210.44,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
24.1.140.2,,Cedar Lake,Indiana,US,"41.3648,-87.4411","AS7922 Comcast Cable Communications, LLC",46303,America/Chicago,
194.184.198.62,host-194-184-198-62.business.telecomitalia.it,Mondovì,Piedmont,IT,"44.3960,7.8176",AS3269 Telecom Italia S.p.A.,12084,Europe/Rome,
72.9.82.184,184-82-9-72-in-addr-arpa.brightok.net,Sulphur,Oklahoma,US,"34.5079,-96.9684",AS8025 BrightNet Oklahoma,73086,America/Chicago,
195.32.126.133,host133-126-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
81.191.172.108,c6cacbf51.static.as2116.net,Jessheim,Viken,NO,"60.1415,11.1752",AS2116 GLOBALCONNECT AS,2050,Europe/Oslo,
172.103.235.145,172.103.235.145.cable.tpia.cipherkey.com,Surrey,British Columbia,CA,"49.1063,-122.8251",AS25668 Cipherkey Exchange Corp.,V3Z,America/Vancouver,
143.238.176.195,cpe-143-238-176-195.nb07.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
141.66.193.28,,Karlsruhe,Baden-Wurttemberg,DE,"49.0094,8.4044",AS13040 FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH,76133,Europe/Berlin,
72.172.215.125,72-172-215-125.fidnet.com,Sullivan,Missouri,US,"38.2081,-91.1604",AS11976 Fidelity Communication International Inc.,63080,America/Chicago,
17.253.24.63,cator4-edge-bx-016.a.aaplimg.com,Toronto,Ontario,CA,"43.7001,-79.4163",AS714 Apple Inc.,M5A,America/Toronto,
137.25.233.145,137-025-233-145.res.spectrum.com,Hesperia,California,US,"34.4222,-117.3025",AS20115 Charter Communications,92345,America/Los_Angeles,
110.235.1.163,110235001163.ctinets.com,Sha Tin,Sha Tin,HK,"22.3833,114.1833",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
101.181.126.188,cpe-101-181-126-188.vb03.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
110.151.4.6,cpe-110-151-4-6.qb06.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
17.253.121.19,aupor1-edge-bx-002.aaplimg.com,Melbourne,Victoria,AU,"-37.8374,144.9282",AS6185 Apple Inc.,3207,Australia/Melbourne,
207.43.77.33,207-43-77-33.web-access.net,Santa Anna,Texas,US,"31.7421,-99.3217",AS18618 west central wireless,76878,America/Chicago,
185.53.229.170,185-53-229-170.saimanet.kg,Bishkek,Bishkek,KG,"42.8700,74.5900",AS29061 Saimanet Telecomunications,,Asia/Bishkek,
61.16.87.30,,Singapore,Singapore,SG,"1.2933,103.8550",AS23856 SPTEL PTE. LTD.,189562,Asia/Singapore,
67.221.138.6,,Mount Vernon,Texas,US,"33.1887,-95.2213",AS40317 Peoples Communications Inc.,75457,America/Chicago,
108.89.219.53,108-89-219-53.lightspeed.hstntx.sbcglobal.net,Houston,Texas,US,"29.7633,-95.3633","AS7018 AT&T Services, Inc.",77002,America/Chicago,
72.172.210.56,72-172-210-56.fidnet.com,Leslie,Missouri,US,"38.4178,-91.2321",AS11976 Fidelity Communication International Inc.,63056,America/Chicago,
195.32.126.118,host118-126-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
61.245.136.248,61-245-136-248.3df588.per.nbn.aussiebb.net,Perth,Western Australia,AU,"-31.9522,115.8614",AS4764 Aussie Broadband,6000,Australia/Perth,
172.251.68.179,cpe-172-251-68-179.socal.res.rr.com,Glendora,California,US,"34.1361,-117.8653",AS20001 Charter Communications Inc,91740,America/Los_Angeles,
72.68.137.132,pool-72-68-137-132.nycmny.fios.verizon.net,Sayville,New York,US,"40.7359,-73.0821",AS701 Verizon Business,11782,America/New_York,
38.125.227.124,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
101.188.19.10,cpe-101-188-19-10.vb03.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
108.196.92.247,108-196-92-247.lightspeed.mmphtn.sbcglobal.net,Memphis,Tennessee,US,"35.1495,-90.0490","AS7018 AT&T Services, Inc.",37544,America/Chicago,
167.89.221.38,,Alba,Texas,US,"32.7929,-95.6344",AS40317 Peoples Communications Inc.,75410,America/Chicago,
155.137.225.190,155137225190.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
72.9.80.144,144-80-9-72-in-addr-arpa.brightok.net,Sulphur,Oklahoma,US,"34.5079,-96.9684",AS8025 BrightNet Oklahoma,73086,America/Chicago,
167.89.222.101,,Mount Vernon,Texas,US,"33.1887,-95.2213",AS40317 Peoples Communications Inc.,75457,America/Chicago,
120.155.77.57,cpe-120-155-77-57.nb05.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
167.89.203.237,,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
207.43.77.55,207-43-77-55.web-access.net,Santa Anna,Texas,US,"31.7421,-99.3217",AS18618 west central wireless,76878,America/Chicago,
178.77.121.60,n178-77-121-60.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
124.244.234.98,124244234098.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
72.172.220.234,72-172-220-234.fidnet.com,New Haven,Missouri,US,"38.6084,-91.2190",AS11976 Fidelity Communication International Inc.,63068,America/Chicago,
67.221.139.66,,Emory,Texas,US,"32.8746,-95.7655",AS40317 Peoples Communications Inc.,75440,America/Chicago,
17.253.13.27,usmia1-edge-bx-014.aaplimg.com,Miami,Florida,US,"25.7743,-80.1937",AS6185 Apple Inc.,33101,America/New_York,
83.249.66.61,c83-249-66-61.bredband.tele2.se,Stockholm,Stockholm,SE,"59.3294,18.0687",AS1257 Tele2 Sverige AB,100 05,Europe/Stockholm,
52.53.126.93,ec2-52-53-126-93.us-west-1.compute.amazonaws.com,San Jose,California,US,"37.3394,-121.8950","AS16509 Amazon.com, Inc.",95103,America/Los_Angeles,
195.32.118.20,host20-118-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
67.61.22.113,67-61-67-61-22-113.cpe.sparklight.net,Idaho Falls,Idaho,US,"43.5518,-111.8919","AS11492 CABLE ONE, INC.",83401,America/Boise,
110.235.72.106,110235072106.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
119.18.38.189,119-18-38-189.771226.bne.static.aussiebb.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS4764 Aussie Broadband,4000,Australia/Brisbane,
195.32.123.148,host148-123-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
176.28.29.174,n176-28-29-174.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
223.134.59.71,fpdf863b47.chbd218.ap.nuro.jp,Shiroi,Chiba,JP,"35.8000,140.0667",AS2527 Sony Network Communications Inc.,270-1421,Asia/Tokyo,
86.124.235.110,86-124-235-110.rdsnet.ro,Alexandria,Teleorman,RO,"43.9833,25.3333",AS8708 RCS & RDS SA,140001,Europe/Bucharest,
195.32.122.179,host179-122-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
195.32.122.247,host247-122-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
61.7.189.152,,Kamalasai,Kalasin,TH,"16.3384,103.5756","AS131090 CAT TELECOM Public Company Ltd,CAT",46130,Asia/Bangkok,
137.119.126.91,137-119-126-91.peoplescom.net,Travis Ranch,Texas,US,"32.8036,-96.4735",AS40317 Peoples Communications Inc.,75126,America/Chicago,
167.89.206.31,,Campbell,Texas,US,"33.1482,-95.9514",AS40317 Peoples Communications Inc.,75422,America/Chicago,
125.133.144.165,,Incheon,Incheon,KR,"37.4586,126.7043",AS4766 Korea Telecom,21551,Asia/Seoul,
121.213.18.143,cpe-121-213-18-143.nb06.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
181.177.250.130,,Lima,Lima,PE,"-12.0432,-77.0282",AS27843 OPTICAL TECHNOLOGIES S.A.C.,15001,America/Lima,
101.182.174.158,cpe-101-182-174-158.qb11.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
137.118.250.24,137-118-250-24.peoplescom.net,Nevada,Texas,US,"33.0423,-96.3739",AS40317 Peoples Communications Inc.,75173,America/Chicago,
83.148.0.215,,Prague,Prague,CZ,"50.0880,14.4208","AS29208 Quantcom, a.s.",110 00,Europe/Prague,
38.125.250.78,,New York City,New York,US,"40.7101,-74.0013","AS29852 Honest Networks, LLC",10038,America/New_York,
124.244.242.234,124244242234.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
195.32.117.42,host42-117-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
200.201.176.183,mvx-200-201-176-183.mundivox.com,Rio de Janeiro,Rio de Janeiro,BR,"-22.9064,-43.1822",AS17222 MUNDIVOX DO BRASIL LTDA,20000-000,America/Sao_Paulo,
61.16.80.14,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
210.6.196.223,210006196223.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
124.251.55.41,,Yufa,Beijing,CN,"39.5197,116.3154",AS56048 China Mobile Communicaitons Corporation,,Asia/Shanghai,
137.118.230.143,137-118-230-143.peoplescom.net,Quitman,Texas,US,"32.7960,-95.4511",AS40317 Peoples Communications Inc.,75783,America/Chicago,
123.3.138.76,123-3-138-76.dyn.ip.vocus.au,Melbourne,Victoria,AU,"-37.8140,144.9633",AS9443 Vocus Retail,3000,Australia/Melbourne,
1.22.228.223,,Mumbai,Maharashtra,IN,"19.0728,72.8826",AS45528 Tikona Infinet Ltd.,400070,Asia/Kolkata,
17.253.15.143,defra1-edge-bx-028.a.aaplimg.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS6185 Apple Inc.,60306,Europe/Berlin,
169.143.11.202,s2.jetplan.com,Denver,Colorado,US,"39.7392,-104.9847",AS26121 Jeppesen Sanderson Inc.,80203,America/Denver,
137.119.126.74,137-119-126-74.peoplescom.net,Fate,Texas,US,"32.9415,-96.3814",AS40317 Peoples Communications Inc.,75132,America/Chicago,
17.253.68.77,jptyo5-edge-get-007.a.aaplimg.com,Tokyo,Tokyo,JP,"35.6895,139.6917",AS6185 Apple Inc.,101-8656,Asia/Tokyo,
137.118.252.195,137-118-252-195.peoplescom.net,Travis Ranch,Texas,US,"32.8036,-96.4735",AS40317 Peoples Communications Inc.,75126,America/Chicago,
137.119.87.215,137-119-87-215.peoplescom.net,Mineola,Texas,US,"32.6632,-95.4883",AS40317 Peoples Communications Inc.,75773,America/Chicago,
126.36.37.78,softbank126036037078.bbtec.net,Yokohama,Kanagawa,JP,"35.4333,139.6500",AS17676 SoftBank Corp.,220-8588,Asia/Tokyo,
138.19.21.231,138019021231.ctinets.com,Fanling,North,HK,"22.4949,114.1395",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
60.227.224.95,cpe-60-227-224-95.nb02.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
203.40.79.230,cpe-203-40-79-230.nb05.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
62.138.212.129,,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
155.137.180.18,155137180018.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
138.19.80.129,138019080129.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
101.191.137.128,cpe-101-191-137-128.nb13.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
72.172.221.56,72-172-221-56.fidnet.com,Gerald,Missouri,US,"38.3998,-91.3307",AS11976 Fidelity Communication International Inc.,63037,America/Chicago,
173.224.18.119,173-224-18-119.ptcnet.net,Pierce,Nebraska,US,"42.1992,-97.5267","AS46328 Four-U Technologies, LLC",68767,America/Chicago,
